epoch,acc,loss,val_acc,val_loss,MAP,MRR
0,0.7029,0.5905,0.7526,0.6111,0.5430505,0.5448253
1,0.7366,0.5513,0.8323,0.4856,0.55654984,0.5578633
2,0.7487,0.5373,0.8398,0.4638,0.5539271,0.55514099
3,0.7527,0.5325,0.7892,0.5512,0.56408017,0.56612451
4,0.7564,0.5277,0.8858,0.3672,0.56560825,0.56732695
5,0.7554,0.5252,0.7938,0.5389,0.56601826,0.56811037
6,0.7568,0.5225,0.7673,0.5734,0.56533672,0.5672527
7,0.7606,0.5212,0.8677,0.4042,0.57414996,0.57611907
8,0.7593,0.5185,0.8349,0.4617,0.57201908,0.57393972
9,0.7597,0.5167,0.7887,0.5358,0.57029909,0.57216764
10,0.7555,0.5241,0.8155,0.5017,0.57452031,0.57641268
11,0.7589,0.5207,0.7962,0.5245,0.57249473,0.57401702
12,0.7609,0.518,0.8158,0.4939,0.57926017,0.58090359
13,0.7618,0.5166,0.7052,0.6264,0.56973638,0.57128377
14,0.765,0.5148,0.7657,0.5655,0.58084344,0.58238819
15,0.765,0.5123,0.7971,0.5265,0.57513117,0.57644048
16,0.7667,0.5105,0.8471,0.4401,0.576082,0.57781481
17,0.7669,0.5094,0.874,0.396,0.57601192,0.57770924
18,0.7673,0.5082,0.8329,0.4655,0.57902797,0.58059945
19,0.7691,0.5062,0.853,0.4307,0.5758945,0.57755001
20,0.7686,0.5058,0.7633,0.5566,0.58148639,0.58329011
21,0.7703,0.5043,0.8335,0.4601,0.58116002,0.58272889
22,0.7706,0.5028,0.8112,0.4986,0.58069554,0.58218116
23,0.7664,0.5129,0.8441,0.446,0.58067773,0.58218616
24,0.7705,0.5092,0.7989,0.51,0.57140528,0.57317417
25,0.7709,0.5064,0.8189,0.4857,0.57969706,0.58137875
26,0.77,0.5052,0.805,0.5063,0.56026389,0.56213729
27,0.7739,0.5019,0.8282,0.4639,0.57424687,0.57647272
28,0.7754,0.5001,0.7932,0.5154,0.56497526,0.56692304
29,0.7758,0.4976,0.8846,0.3712,0.57482509,0.57689054
30,0.7752,0.4975,0.8464,0.4391,0.5587678,0.56045646
31,0.7769,0.4957,0.813,0.4913,0.57308343,0.57539803
32,0.7778,0.494,0.7936,0.5135,0.56361124,0.56512373
33,0.7795,0.4925,0.7969,0.5207,0.57243914,0.57498774
34,0.78,0.492,0.7669,0.5487,0.5709955,0.57266076
35,0.7824,0.4897,0.8132,0.4868,0.56723716,0.5692593
36,0.7829,0.4887,0.7602,0.5588,0.58033343,0.58186279
37,0.783,0.4878,0.803,0.4925,0.56914461,0.57116901
